;Min;;;Max;;
N°;Year;Month;SN;Year;Month;SN
1;1755;2;14.0;1761;6;144.1
2;1766;6;18.6;1769;9;193.0
3;1775;6;12.0;1778;5;264.2
4;1784;9;15.9;1788;2;235.3
5;1798;4; 5.3;1805;2; 82.0
6;1810;7; 0.0;1816;5; 81.2
7;1823;5; 0.1;1829;11;119.2
8;1833;11;12.2;1837;3;244.9
9;1843;7;17.6;1848;2;219.9
10;1855;12; 6.0;1860;2;186.2
11;1867;3; 9.9;1870;8;234.0
12;1878;12; 3.7;1883;12;124.4
13;1890;3; 8.3;1894;1;146.5
14;1902;1; 4.5;1906;2;107.1
15;1913;7; 2.5;1917;8;175.7
16;1923;8; 9.3;1928;4;130.2
17;1933;9; 5.8;1937;4;198.6
18;1944;2;12.9;1947;5;218.7
19;1954;4; 5.1;1958;3;285.0
20;1964;10;14.3;1968;11;156.6
21;1976;3;17.8;1979;12;232.9
22;1986;9;13.5;1989;11;212.5
23;1996;8;11.2;2001;11;180.3
24;2008;12; 2.2;2014;4;116.4
25;2019;12;1.8;;;
